figure,dataset,x_axis,curve,x,certified_accuracy
3,Cora-ML,Perturbation Size,S=80,0,0.663
3,Cora-ML,Perturbation Size,S=80,1,0.663
3,Cora-ML,Perturbation Size,S=80,2,0.661
3,Cora-ML,Perturbation Size,S=80,3,0.659
3,Cora-ML,Perturbation Size,S=80,4,0.655
3,Cora-ML,Perturbation Size,S=80,5,0.649
3,Cora-ML,Perturbation Size,S=80,6,0.649
3,Cora-ML,Perturbation Size,S=80,7,0.649
3,Cora-ML,Perturbation Size,S=80,8,0.648
3,Cora-ML,Perturbation Size,S=80,9,0.646
3,Cora-ML,Perturbation Size,S=80,10,0.645
3,Cora-ML,Perturbation Size,S=80,11,0.644
3,Cora-ML,Perturbation Size,S=80,12,0.643
3,Cora-ML,Perturbation Size,S=80,13,0.641
3,Cora-ML,Perturbation Size,S=80,14,0.637
3,Cora-ML,Perturbation Size,S=80,15,0.636
3,Cora-ML,Perturbation Size,S=80,16,0.636
3,Cora-ML,Perturbation Size,S=80,17,0.629
3,Cora-ML,Perturbation Size,S=80,18,0.626
3,Cora-ML,Perturbation Size,S=80,36,0.721
3,Cora-ML,Perturbation Size,S=80,37,0.721
3,Cora-ML,Perturbation Size,S=80,38,0.721
3,Cora-ML,Perturbation Size,S=80,39,0.721
3,Cora-ML,Perturbation Size,S=60,0,0.685
3,Cora-ML,Perturbation Size,S=60,1,0.685
3,Cora-ML,Perturbation Size,S=60,2,0.683
3,Cora-ML,Perturbation Size,S=60,3,0.678
3,Cora-ML,Perturbation Size,S=60,4,0.676
3,Cora-ML,Perturbation Size,S=60,5,0.674
3,Cora-ML,Perturbation Size,S=60,6,0.671
3,Cora-ML,Perturbation Size,S=60,7,0.664
3,Cora-ML,Perturbation Size,S=60,8,0.66
3,Cora-ML,Perturbation Size,S=60,9,0.657
3,Cora-ML,Perturbation Size,S=60,10,0.654
3,Cora-ML,Perturbation Size,S=60,11,0.653
3,Cora-ML,Perturbation Size,S=60,12,0.651
3,Cora-ML,Perturbation Size,S=60,13,0.634
3,Cora-ML,Perturbation Size,S=60,14,0.632
3,Cora-ML,Perturbation Size,S=60,15,0.62
3,Cora-ML,Perturbation Size,S=60,16,0.62
3,Cora-ML,Perturbation Size,S=60,17,0.614
3,Cora-ML,Perturbation Size,S=60,18,0.609
3,Cora-ML,Perturbation Size,S=60,36,0.817
3,Cora-ML,Perturbation Size,S=60,37,0.817
3,Cora-ML,Perturbation Size,S=60,38,0.817
3,Cora-ML,Perturbation Size,S=60,39,0.817
3,Cora-ML,Perturbation Size,S=40,1,0.695
3,Cora-ML,Perturbation Size,S=40,2,0.692
3,Cora-ML,Perturbation Size,S=40,3,0.687
3,Cora-ML,Perturbation Size,S=40,4,0.683
3,Cora-ML,Perturbation Size,S=40,5,0.66
3,Cora-ML,Perturbation Size,S=40,6,0.657
3,Cora-ML,Perturbation Size,S=40,7,0.641
3,Cora-ML,Perturbation Size,S=40,8,0.641
3,Cora-ML,Perturbation Size,S=40,9,0.637
3,Cora-ML,Perturbation Size,S=40,10,0.633
3,Cora-ML,Perturbation Size,S=40,11,0.63
3,Cora-ML,Perturbation Size,S=40,12,0.621
3,Cora-ML,Perturbation Size,S=40,13,0.616
3,Cora-ML,Perturbation Size,S=40,14,0.607
3,Cora-ML,Perturbation Size,S=40,15,0.595
3,Cora-ML,Perturbation Size,S=40,16,0.568
3,Cora-ML,Perturbation Size,S=40,17,0.539
3,Cora-ML,Perturbation Size,S=40,18,0.463
3,Cora-ML,Perturbation Size,S=40,35,0.914
3,Cora-ML,Perturbation Size,S=40,36,0.914
3,Cora-ML,Perturbation Size,S=40,37,0.914
3,Cora-ML,Perturbation Size,S=40,38,0.914
3,Cora-ML,Perturbation Size,S=40,39,0.914
3,Citeseer,Perturbation Size,S=80,0,0.668
3,Citeseer,Perturbation Size,S=80,1,0.666
3,Citeseer,Perturbation Size,S=80,2,0.666
3,Citeseer,Perturbation Size,S=80,3,0.666
3,Citeseer,Perturbation Size,S=80,4,0.666
3,Citeseer,Perturbation Size,S=80,5,0.663
3,Citeseer,Perturbation Size,S=80,6,0.66
3,Citeseer,Perturbation Size,S=80,7,0.66
3,Citeseer,Perturbation Size,S=80,8,0.661
3,Citeseer,Perturbation Size,S=80,9,0.66
3,Citeseer,Perturbation Size,S=80,10,0.655
3,Citeseer,Perturbation Size,S=80,11,0.654
3,Citeseer,Perturbation Size,S=80,12,0.651
3,Citeseer,Perturbation Size,S=80,13,0.646
3,Citeseer,Perturbation Size,S=80,14,0.641
